crime_type,crime_count
GAMBLING - OPERATING/PROMOTING/ASSISTING GAMBLING,2
HOMICIDE - MANSLAUGHTER BY NEGLIGENCE,1
HOMICIDE - MURDER & NON-NEGLIENT MANSLAUGHTER,12
"HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",1
LARCENY - ALL OTHER LARCENY,10523
LARCENY - AUTO PARTS & ACCESSORIES,1300
LARCENY - AUTO PARTS OR ACCESSORIES,488
LARCENY - CONCEALING MDSE/SHOPLIFTING,1
LARCENY - FROM BUILDING,383
LARCENY - FROM BUILDINGS,1322
LARCENY - FROM COIN OPERATED MACHINE,32
LARCENY - FROM COIN-OP DEVICES,275
LARCENY - FROM MOTOR VEHICLE,9192
LARCENY - PHARMACEUTICAL LARCENY,61
LARCENY - POCKET PICKING,102
LARCENY - PURSE SNATCHING,98
LARCENY - SHOPLIFTING,6769
LIQUOR - ALL OTHER,129
LIQUOR - ALL OTHER LIQUOR LAW VIOLATIONS,129
LIQUOR - BUYING/RECEIVING TAX PAID,1
LIQUOR - DWI ALCOHOL AND/OR DRUGS,277
LIQUOR - ILLEGAL SALE TO MINORS,24
LIQUOR - ILLEGAL SALE TO MINORS ALCOHOLIC BEVERAGES,13
LIQUOR - POSSESS/CONCEAL NONTAX PD,3
LIQUOR - POSSESS/CONCEAL TAX PAID,17
LIQUOR - POSSESSING/CONCEALING TAX PAID LIQUOR,13
LIQUOR - SALE WITHOUT LICENSE,1
LIQUOR - SELLING/DISTRIBUT TAX PAID,1
LIQUOR - TRANSPORTING NON TAX PAID LIQUOR,1
LIQUOR - TRANSPORTING TAX PAID LIQUOR,1
LIQUOR - UNDERAGE POSSESION ALCOHOLIC  BEVERAGE,3
LIQUOR - UNDERAGE POSSESSION,1
LIQUOR - USING/CONSUMING TAX PAID,8
LIQUOR - USING/CONSUMING TAX PAID LIQUOR,9
MISSING PERSON,555
MOTOR VEHICLE THEFT - ALL OTHER,268
MOTOR VEHICLE THEFT - AUTO,896
MOTOR VEHICLE THEFT - REC VEHICLE,22
MOTOR VEHICLE THEFT - TRUCK,179
MURDER & NON-NEGLIGENT MANSLAUGHTER,9
MV THEFT - ALL OTHER VEHICLES,133
MV THEFT - AUTO,429
MV THEFT - TRUCK,90
NONNEGLIGENT TRAFFIC DEATH,11
ORDINANCE - ANIMAL ABUSE,62
ORDINANCE - ANIMAL BITE,1174
ORDINANCE - CITY ORDINANCE VIOLATION,135
ORDINANCE - DANGEROUS ANIMALS,25
ORDINANCE - DANGEROUSE ANIMALS,3
ORDINANCE - NOISE COMPLAINT,7
ORDINANCE - SOLICITING WITHOUT A PERMIT,15
"OTHER - BLACKMAIL,EXTORTION",9
OTHER - CITY ORDINANCE VIOLATIONS,147
"OTHER - CONTEMPT,FTA,PERJURY",213
OTHER - ESCAPE CUSTODY/RESISTING,574
OTHER - KIDNAPPING,72
OTHER - PAROLE/PROBATION VIOLATIONS,41
OTHER - TRESPASSING,392
OTHER CRIMINAL OFF.,1
PORN/OBSCENE MAT. - EXPLOITING CHILD,2
PORN/OBSCENE MAT. - EXPLOITING CHILDREN,2
PORN/OBSCENE MAT. - SELLING/ DISTRIBUTING,1
PORNOGRAPHY-ALL OTHER,4
PORNOGRAPHY-BUYING/RECEIVING,2
PORNOGRAPHY-EXPLOITING CHILDREN,15
PORNOGRAPHY-POSSESSING/CONCEALING,2
PORNOGRAPHY/OBSCENE MATERIAL - BUYING/RECEIVING,1
PORNOGRAPHY/OBSCENE MATERIAL - OTHER OBSCENITY/ PORNOGRAPHY,10
PORNOGRAPHY/OBSCENE MATERIAL - POSSESSING/ CONCEALING,1
PORNOGRAPHY/OBSCENE MATERIAL - PUBLISHING OBSCENE MATERIAL,6
PORNOGRPAHY-SELLING/DISTRIBUTING,3
PROSTITUTION,46
PROSTITUTION - ASSISTING/PROMOTING,10
RESISTING PUBLIC OFFICER,5
ROBBERY,444
ROBBERY - ARMED,197
ROBBERY - COMMON LAW,127
SEX OFF - ALL OTHER SEX OFFENSES,70
SEX OFF - ASSISTING/PROMOTING VICE,2
SEX OFF - INDECENT EXPOSURE,184
SEX OFF - PEEPING TOM,34
SEX OFF - PROSTITUTION,44
SEX OFFENSES - ALL OTHER,119
SEX OFFENSES - INDECENT EXPOSURE,135
SEX OFFENSES - PEEPING TOM,18
SIMPLE NON-PHYSICAL ASSAULT,548
SIMPLE PHYSICAL ASSAULT,4025
STOLEN PROPERTY - BUYING/RECEIVING,5
STOLEN PROPERTY - POSSESS/CONCEAL,223
STOLEN PROPERTY - POSSESSING/CONCEALING,136
STOLEN PROPERTY - POSSESSION OF STOLEN VEHICLE,1
STOLEN PROPERTY - SELL/DISTRIBUTE,5
STOLEN PROPERTY - SELLING/DISTRIBUTING,1
STOLEN PROPERTY - TRANSPORTING,1
SUICIDE,543
TOC - ANIMAL BITE,4
TRAFFIC (ALL OFFENSES EXCEPT DWI),149
TRAFFIC - DL - LIMITATIONS,2
TRAFFIC - DL - NO DRIVER`S LICENSE,10
TRAFFIC - DL - OPERATOR OR CHAUFFER,1
TRAFFIC - DL - SUSPENDED / REVOKED,31
TRAFFIC - DRIVE WRONG SIDE  - HIGHWAY,1
TRAFFIC - DRIVING WHILE IMPAIRED ALCOHOL/DRUGS,202
TRAFFIC - DWI - PROVISIONAL LICENSEE,30
TRAFFIC - FAIL TO STOP VEH AT ACCIDENT,2
TRAFFIC - HIT/RUN LEAVE SCENE OF PROPERTY DAMAGE,1
TRAFFIC - IMPAIRED DRIVING DWI,68
TRAFFIC - IMPROPER REG. - OPERATING,1
TRAFFIC - NO LIABILITY INSURANCE,1
TRAFFIC - RECKLESS DRIVING,6
TRAFFIC - SPEEDING - EXCEEDING POSTED LIMIT BY 15 MPH OR MOR,2
TRAFFIC - SPEEDING - FAILURE TO DECREASE TO AVOID ACCIDENT,1
UNIDENTIFIED CLASSIFICATION,13
VANDALISM,6406
VANDALISM - DAMAGE TO PROPERTY,3325
VANDALISM - GRAFFITI,433
WEAPONS - ALL OTHER,57
WEAPONS - CARRYING A CONCEALING WEAPON,146
WEAPONS - ILLEGAL DISCHARGE OF FIREARM WEAPONS,35
WEAPONS - MANUFACTURE & TRANSPORT,1
WEAPONS - OTHER,73
WEAPONS - POSSESS/CONCEAL,225
WEAPONS - USING (ILLEGAL DISCHARGE),26
WEAPONS VIOLATIONS - CARRYING A CONCEALING WEAPON,2
WEAPONS VIOLATIONS - OTHER,1
Z DWI ALCOHOL,1
